学部,棟,階層,教室名,定員数,現在の使用者数,1限,2限,3限,4限,5限,6限
文学部,A,1,101,999,0,0,0,0,0,0,0
文学部,A,1,102,999,0,0,0,0,0,0,0
文学部,A,1,103,999,0,0,0,0,0,0,0
文学部,A,1,104,999,0,0,0,0,0,0,0
文学部,A,1,105,999,0,0,0,0,0,0,0
文学部,A,1,106,999,0,0,0,0,0,0,0
文学部,A,1,107,999,0,0,0,0,0,0,0
文学部,A,1,108,999,0,0,0,0,0,0,0
文学部,A,1,109,999,0,0,0,0,0,0,0
文学部,A,1,110,999,0,0,0,0,0,0,0
文学部,A,1,111,999,0,0,0,0,0,0,0
文学部,A,1,112,999,0,0,0,0,0,0,0
文学部,A,1,113,999,0,0,0,0,0,0,0
文学部,A,1,114,999,0,0,0,0,0,0,0
文学部,A,1,115,999,0,0,0,0,0,0,0
文学部,A,1,116,999,0,0,0,0,0,0,0
文学部,A,1,117,999,0,0,0,0,0,0,0
文学部,A,1,118,999,0,0,0,0,0,0,0
文学部,A,1,119,999,0,0,0,0,0,0,0
文学部,A,1,120,999,0,0,0,0,0,0,0
文学部,A,2,201,999,0,0,0,0,0,0,0
文学部,A,2,202,999,0,0,0,0,0,0,0
文学部,A,2,203,999,0,0,0,0,0,0,0
文学部,A,2,204,999,0,0,0,0,0,0,0
文学部,A,2,205,999,0,0,0,0,0,0,0
文学部,A,2,206,999,0,0,0,0,0,0,0
文学部,A,2,207,999,0,0,0,0,0,0,0
文学部,A,2,208,999,0,0,0,0,0,0,0
文学部,A,2,209,999,0,0,0,0,0,0,0
文学部,A,2,210,999,0,0,0,0,0,0,0
文学部,A,2,211,999,0,0,0,0,0,0,0
文学部,A,2,212,999,0,0,0,0,0,0,0
文学部,A,2,213,999,0,0,0,0,0,0,0
文学部,A,2,214,999,0,0,0,0,0,0,0
文学部,A,2,215,999,0,0,0,0,0,0,0
文学部,A,2,216,999,0,0,0,0,0,0,0
文学部,A,2,217,999,0,0,0,0,0,0,0
文学部,A,2,218,999,0,0,0,0,0,0,0
文学部,A,2,219,999,0,0,0,0,0,0,0
文学部,A,2,220,999,0,0,0,0,0,0,0
文学部,A,3,301,999,0,0,0,0,0,0,0
文学部,A,3,302,999,0,0,0,0,0,0,0
文学部,A,3,303,999,0,0,0,0,0,0,0
文学部,A,3,304,999,0,0,0,0,0,0,0
文学部,A,3,305,999,0,0,0,0,0,0,0
文学部,A,3,306,999,0,0,0,0,0,0,0
文学部,A,3,307,999,0,0,0,0,0,0,0
文学部,A,3,308,999,0,0,0,0,0,0,0
文学部,A,3,309,999,0,0,0,0,0,0,0
文学部,A,3,310,999,0,0,0,0,0,0,0
文学部,A,3,311,999,0,0,0,0,0,0,0
文学部,A,3,312,999,0,0,0,0,0,0,0
文学部,A,3,313,999,0,0,0,0,0,0,0
文学部,A,3,314,999,0,0,0,0,0,0,0
文学部,A,3,315,999,0,0,0,0,0,0,0
文学部,A,3,316,999,0,0,0,0,0,0,0
文学部,A,3,317,999,0,0,0,0,0,0,0
文学部,A,3,318,999,0,0,0,0,0,0,0
文学部,A,3,319,999,0,0,0,0,0,0,0
文学部,A,3,320,999,0,0,0,0,0,0,0
文学部,A,4,401,999,0,0,0,0,0,0,0
文学部,A,4,402,999,0,0,0,0,0,0,0
文学部,A,4,403,999,0,0,0,0,0,0,0
文学部,A,4,404,999,0,0,0,0,0,0,0
文学部,A,4,405,999,0,0,0,0,0,0,0
文学部,A,4,406,999,0,0,0,0,0,0,0
文学部,A,4,407,999,0,0,0,0,0,0,0
文学部,A,4,408,999,0,0,0,0,0,0,0
文学部,A,4,409,999,0,0,0,0,0,0,0
文学部,A,4,410,999,0,0,0,0,0,0,0
文学部,A,4,411,999,0,0,0,0,0,0,0
文学部,A,4,412,999,0,0,0,0,0,0,0
文学部,A,4,413,999,0,0,0,0,0,0,0
